date,k18,k21,k22,traditional
2007-10-19,1550,1735,1820,1457
2007-10-20,1550,1735,1820,1457
2007-10-21,1550,1735,1820,1457
2007-10-22,1550,1735,1820,1457
2007-10-23,1550,1735,1820,1457
2007-10-24,1550,1735,1820,1457
2007-10-25,1650,1855,1945,1543
2007-10-26,1650,1855,1945,1543
2007-10-27,1650,1855,1945,1543
2007-10-28,1650,1855,1945,1543
2007-10-29,1650,1855,1945,1543
2007-10-30,1650,1855,1945,1543
2007-10-31,1650,1855,1945,1543
2007-11-01,1650,1855,1945,1543
2007-11-02,1650,1855,1945,1543
2007-11-03,1650,1855,1945,1543
2007-11-04,1650,1855,1945,1543
2007-11-05,1650,1855,1945,1543
2007-11-06,1650,1855,1945,1543
2007-11-07,1650,1855,1945,1543
2007-11-08,1690,1896,1986,1558
2007-11-09,1690,1896,1986,1558
2007-11-10,1690,1896,1986,1558
2007-11-11,1690,1896,1986,1558
2007-11-12,1690,1896,1986,1558
2007-11-13,1690,1896,1986,1558
2007-11-14,1690,1896,1986,1558
2007-11-15,1690,1896,1986,1558
2007-11-16,1690,1896,1986,1558
2007-11-17,1690,1896,1986,1558
2007-11-18,1690,1896,1986,1558
2007-11-19,1690,1896,1986,1558
2007-11-20,1690,1896,1986,1558
2007-11-21,1690,1896,1986,1558
2007-11-22,1690,1896,1986,1558
2007-11-23,1690,1896,1986,1558
2007-11-24,1690,1896,1986,1558
2007-11-25,1690,1896,1986,1558
2007-11-26,1690,1896,1986,1558
2007-11-27,1690,1896,1986,1558
2007-11-28,1690,1896,1986,1558
2007-11-29,1690,1896,1986,1558
2007-11-30,1690,1896,1986,1558
2007-12-01,1690,1896,1986,1558
2007-12-02,1690,1896,1986,1558
2007-12-03,1690,1896,1986,1558
2007-12-04,1690,1896,1986,1558
2007-12-05,1690,1896,1986,1558
2007-12-06,1690,1896,1986,1558
2007-12-07,1690,1896,1986,1558
2007-12-08,1690,1896,1986,1558
2007-12-09,1690,1896,1986,1558
2007-12-10,1690,1896,1986,1558
2007-12-11,1690,1896,1986,1558
2007-12-12,1690,1896,1986,1558
2007-12-13,1690,1896,1986,1558
2007-12-14,1690,1896,1986,1558
2007-12-15,1690,1896,1986,1558
2007-12-16,1690,1896,1986,1558
2007-12-17,1690,1896,1986,1558
2007-12-18,1690,1896,1986,1558
2007-12-19,1690,1896,1986,1558
2007-12-20,1690,1896,1986,1558
2007-12-21,1690,1896,1986,1558
2007-12-22,1690,1896,1986,1558
2007-12-23,1690,1896,1986,1558
2007-12-24,1690,1896,1986,1558
2007-12-25,1690,1896,1986,1558
2007-12-26,1690,1896,1986,1558
2007-12-27,1690,1896,1986,1558
2007-12-28,1690,1896,1986,1558
2007-12-29,1690,1896,1986,1558
2007-12-30,1690,1896,1986,1558
2007-12-31,1690,1896,1986,1558
2008-01-01,1690,1896,1986,1558
2008-01-02,1690,1896,1986,1558
2008-01-03,1690,1896,1986,1558
2008-01-04,1690,1896,1986,1558
2008-01-05,1690,1896,1986,1558
2008-01-06,1690,1896,1986,1558
2008-01-07,1690,1896,1986,1558
2008-01-08,1755,1970,2060,1558
2008-01-09,1755,1970,2060,1558
2008-01-10,1755,1970,2060,1558
2008-01-11,1755,1970,2060,1558
2008-01-12,1755,1970,2060,1558
2008-01-13,1755,1970,2060,1558
2008-01-14,1755,1970,2060,1558
2008-01-15,1755,1970,2060,1558
2008-01-16,1755,1970,2060,1558
2008-01-17,1755,1970,2060,1558
2008-01-18,1755,1970,2060,1558
2008-01-19,1755,1970,2060,1558
2008-01-20,1755,1970,2060,1558
2008-01-21,1755,1970,2060,1558
2008-01-22,1755,1970,2060,1558
2008-01-23,1755,1970,2060,1558
2008-01-24,1755,1970,2060,1558
2008-01-25,1755,1970,2060,1558
2008-01-26,1755,1970,2060,1558
2008-01-27,1755,1970,2060,1558
2008-01-28,1755,1970,2060,1558
2008-01-29,1755,1970,2060,1558
2008-01-30,1755,1970,2060,1558
2008-01-31,1855,2080,2180,1558
2008-02-01,1855,2080,2180,1558
2008-02-02,1855,2080,2180,1558
2008-02-03,1855,2080,2180,1558
2008-02-04,1855,2080,2180,1558
2008-02-05,1855,2080,2180,1558
2008-02-06,1855,2080,2180,1558
2008-02-07,1855,2080,2180,1558
2008-02-08,1855,2080,2180,1558
2008-02-09,1855,2080,2180,1558
2008-02-10,1855,2080,2180,1558
2008-02-11,1855,2080,2180,1558
2008-02-12,1855,2080,2180,1558
2008-02-13,1855,2080,2180,1558
2008-02-14,1855,2080,2180,1558
2008-02-15,1855,2080,2180,1558
2008-02-16,1855,2080,2180,1558
2008-02-17,1855,2080,2180,1558
2008-02-18,1855,2080,2180,1558
2008-02-19,1855,2080,2180,1558
2008-02-20,1855,2080,2180,1558
2008-02-21,1855,2080,2180,1558
2008-02-22,1855,2080,2180,1558
2008-02-23,1855,2080,2180,1558
2008-02-24,1855,2080,2180,1558
2008-02-25,1855,2080,2180,1558
2008-02-26,1855,2080,2180,1558
2008-02-27,1920,2155,2255,1600
2008-02-28,1920,2155,2255,1600
2008-02-29,1920,2155,2255,1600
2008-03-01,1920,2155,2255,1600
2008-03-02,1920,2155,2255,1600
2008-03-03,1920,2155,2255,1600
2008-03-04,1920,2155,2255,1600
2008-03-05,1920,2155,2255,1600
2008-03-06,2005,2250,2355,1625
2008-03-07,2005,2250,2355,1625
2008-03-08,2005,2250,2355,1625
2008-03-09,2005,2250,2355,1625
2008-03-10,2005,2250,2355,1625
2008-03-11,2005,2250,2355,1625
2008-03-12,2005,2250,2355,1625
2008-03-13,2005,2250,2355,1625
2008-03-14,2005,2250,2355,1625
2008-03-15,2005,2250,2355,1625
2008-03-16,2005,2250,2355,1625
2008-03-17,2005,2250,2355,1625
2008-03-18,2005,2250,2355,1625
2008-03-19,2005,2250,2355,1625
2008-03-20,2005,2250,2355,1625
2008-03-21,2005,2250,2355,1625
2008-03-22,2005,2250,2355,1625
2008-03-23,2005,2250,2355,1625
2008-03-24,2005,2250,2355,1625
2008-03-25,2005,2250,2355,1625
2008-03-26,2005,2250,2355,1625
2008-03-27,2005,2250,2355,1625
2008-03-28,2005,2250,2355,1625
2008-03-29,2005,2250,2355,1625
2008-03-30,2005,2250,2355,1625
2008-03-31,2005,2250,2355,1625
2008-04-01,2005,2250,2355,1625
2008-04-02,2005,2250,2355,1625
2008-04-03,2005,2250,2355,1625
2008-04-04,2005,2250,2355,1625
2008-04-05,1920,2155,2255,1600
2008-04-06,1920,2155,2255,1600
2008-04-07,1920,2155,2255,1600
2008-04-08,1920,2155,2255,1600
2008-04-09,1920,2155,2255,1600
2008-04-10,1920,2155,2255,1600
2008-04-11,1920,2155,2255,1600
2008-04-12,1920,2155,2255,1600
2008-04-13,1920,2155,2255,1600
2008-04-14,1920,2155,2255,1600
2008-04-15,1920,2155,2255,1600
2008-04-16,1920,2155,2255,1600
2008-04-17,1920,2155,2255,1600
2008-04-18,1920,2155,2255,1600
2008-04-19,1920,2155,2255,1600
2008-04-20,1920,2155,2255,1600
2008-04-21,1920,2155,2255,1600
2008-04-22,1920,2155,2255,1600
2008-04-23,1920,2155,2255,1600
2008-04-24,1920,2155,2255,1600
2008-04-25,1920,2155,2255,1600
2008-04-26,1920,2155,2255,1600
2008-04-27,1920,2155,2255,1600
2008-04-28,1920,2155,2255,1600
2008-04-29,1920,2155,2255,1600
2008-04-30,1920,2155,2255,1600
2008-05-01,1920,2155,2255,1600
2008-05-02,1920,2155,2255,1600
2008-05-03,1920,2155,2255,1600
2008-05-04,1920,2155,2255,1600
2008-05-05,1920,2155,2255,1600
2008-05-06,1840,2060,2160,1550
2008-05-07,1840,2060,2160,1550
2008-05-08,1840,2060,2160,1550
2008-05-09,1840,2060,2160,1550
2008-05-10,1840,2060,2160,1550
2008-05-11,1840,2060,2160,1550
2008-05-12,1840,2060,2160,1550
2008-05-13,1840,2060,2160,1550
2008-05-14,1840,2060,2160,1550
2008-05-15,1840,2060,2160,1550
2008-05-16,1840,2060,2160,1550
2008-05-17,1840,2060,2160,1550
2008-05-18,1840,2060,2160,1550
2008-05-19,1840,2060,2160,1550
2008-05-20,1840,2060,2160,1550
2008-05-21,1920,2155,2255,1600
2008-05-22,1920,2155,2255,1600
2008-05-23,1920,2155,2255,1600
2008-05-24,1920,2155,2255,1600
2008-05-25,1920,2155,2255,1600
2008-05-26,1920,2155,2255,1600
2008-05-27,1920,2155,2255,1600
2008-05-28,1920,2155,2255,1600
2008-05-29,1920,2155,2255,1600
2008-05-30,1920,2155,2255,1600
2008-05-31,1920,2155,2255,1600
2008-06-01,1920,2155,2255,1600
2008-06-02,1920,2155,2255,1600
2008-06-03,1920,2155,2255,1600
2008-06-04,1920,2155,2255,1600
2008-06-05,1920,2155,2255,1600
2008-06-06,1920,2155,2255,1600
2008-06-07,1920,2155,2255,1600
2008-06-08,1920,2155,2255,1600
2008-06-09,1920,2155,2255,1600
